Date,prev_signal,new_signal,trade_cost,equity_before,equity_after
2004-10-15,0,1,0.0005,10000.0,10067.36409703635
2004-10-26,1,0,0.0005,10334.419236002788,10329.252026384787
2004-11-03,0,1,0.0005,10329.252026384787,10408.917221898104
2004-11-08,1,0,0.0005,10523.834190202724,10518.572273107624
2004-11-12,0,1,0.0005,10518.572273107624,10562.04109578654
2004-11-15,1,0,0.0005,10562.04109578654,10556.760075238648
2004-11-17,0,1,0.0005,10556.760075238648,10613.237809287513
2004-11-18,1,0,0.0005,10613.237809287513,10607.93119038287
2004-11-19,0,1,0.0005,10607.93119038287,10676.09560896309
2004-11-29,1,0,0.0005,10885.18939203981,10879.74679734379
2004-11-30,0,1,0.0005,10879.74679734379,10901.328147793065
2004-12-02,1,0,0.0005,10940.539690059577,10935.069420214548
2004-12-03,0,1,0.0005,10935.069420214548,11097.353618012196
2004-12-06,1,0,0.0005,11097.353618012196,11091.80494120319
2004-12-23,0,1,0.0005,11091.80494120319,11186.073536457214
2004-12-28,1,0,0.0005,11278.48645871185,11272.847215482494
2004-12-30,0,1,0.0005,11272.847215482494,11284.71042254386
2004-12-31,1,0,0.0005,11284.71042254386,11279.068067332588
2005-02-22,0,1,0.0005,11279.068067332588,11442.222445245536
2005-02-23,1,0,0.0005,11442.222445245536,11436.501334022914
2005-03-08,0,1,0.0005,11436.501334022914,11542.772411756014
2005-03-14,1,0,0.0005,11647.098848108251,11641.275298684197
2005-04-20,0,1,0.0005,11641.275298684197,11654.938953774206
2005-04-21,1,0,0.0005,11654.938953774206,11649.11148429732
2005-08-03,0,1,0.0005,11649.11148429732,11777.296031692327
2005-08-05,1,0,0.0005,11824.895684154524,11818.983236312448
2005-08-10,0,1,0.0005,11818.983236312448,11820.683899616044
2005-08-12,1,0,0.0005,11903.402306015649,11897.45060486264
2005-09-01,0,1,0.0005,11897.45060486264,12034.336594901177
2005-09-05,1,0,0.0005,12075.742446072962,12069.704574849926
2005-12-12,0,1,0.0005,12069.704574849926,12207.832878135148
2005-12-13,1,0,0.0005,12207.832878135148,12201.72896169608
2005-12-14,0,1,0.0005,12201.72896169608,12221.169646554956
2005-12-15,1,0,0.0005,12221.169646554956,12215.05906173168
2005-12-16,0,1,0.0005,12215.05906173168,12256.84451591187
2005-12-19,1,0,0.0005,12256.84451591187,12250.716093653913
2006-01-03,0,1,0.0005,12250.716093653913,12466.488552861701
2006-01-05,1,0,0.0005,12548.05986102778,12541.785831097266
2006-01-06,0,1,0.0005,12541.785831097266,12584.199094453312
2006-01-09,1,0,0.0005,12584.199094453312,12577.906994906085
2006-01-23,0,1,0.0005,12577.906994906085,12744.527335048508
2006-01-24,1,0,0.0005,12744.527335048508,12738.155071380985
2006-03-03,0,1,0.0005,12738.155071380985,12739.148695510723
2006-03-06,1,0,0.0005,12739.148695510723,12732.779121162968
2006-03-15,0,1,0.0005,12732.779121162968,12781.470646107853
2006-03-20,1,0,0.0005,12909.08131888175,12902.62677822231
2006-04-04,0,1,0.0005,12902.62677822231,13024.143792691726
2006-04-06,1,0,0.0005,13053.877656217057,13047.350717388948
2006-04-18,0,1,0.0005,13047.350717388948,13160.647796989431
2006-04-20,1,0,0.0005,13172.37195143206,13165.785765456345
2006-04-24,0,1,0.0005,13165.785765456345,13210.321441197391
2006-05-01,1,0,0.0005,13472.887784651224,13466.1513407589
2006-05-04,0,1,0.0005,13466.1513407589,13542.286884978888
2006-05-08,1,0,0.0005,13571.040652692525,13564.25513236618
2006-05-09,0,1,0.0005,13564.25513236618,13625.705445907592
2006-05-15,1,0,0.0005,13799.089833061218,13792.190288144688
2006-07-07,0,1,0.0005,13792.190288144688,13837.021131215002
2006-07-10,1,0,0.0005,13837.021131215002,13830.102620649395
2006-08-04,0,1,0.0005,13830.102620649395,13909.307162773392
2006-08-07,1,0,0.0005,13909.307162773392,13902.352509192006
2006-10-27,0,1,0.0005,13902.352509192006,13948.977492556322
