Date,prev_signal,new_signal,trade_cost,equity_before,equity_after
2000-11-10,0,1,0.0005,10000.0,9748.744993262171
2000-11-14,1,0,0.0005,9672.636539546713,9667.80022127694
2000-11-16,0,1,0.0005,9667.80022127694,9510.234721876392
2000-12-11,1,0,0.0005,9259.239364391018,9254.609744708823
2000-12-14,0,1,0.0005,9254.609744708823,9131.326793667156
2000-12-28,1,0,0.0005,9070.795206968978,9066.259809365494
2000-12-29,0,1,0.0005,9066.259809365494,8888.459886152084
2001-01-10,1,0,0.0005,8780.788255171383,8776.397861043797
2001-02-07,0,1,0.0005,8776.397861043797,8726.51405311824
2001-04-05,1,0,0.0005,7155.968099556499,7152.390115506721
2001-04-06,0,1,0.0005,7152.390115506721,7039.184365746197
2001-04-09,1,0,0.0005,7039.184365746197,7035.664773563324
2001-05-30,0,1,0.0005,7035.664773563324,6932.901511832017
2001-06-01,1,0,0.0005,6968.777202197814,6965.292813596716
2001-06-06,0,1,0.0005,6965.292813596716,6903.702291143851
2001-07-05,1,0,0.0005,6722.217980499779,6718.856871509529
2001-07-06,0,1,0.0005,6718.856871509529,6568.682679463227
2001-07-17,1,0,0.0005,6657.10176409882,6653.773213216771
2001-07-18,0,1,0.0005,6653.773213216771,6604.964038870425
2001-07-26,1,0,0.0005,6498.348481088329,6495.099306847786
2001-08-06,0,1,0.0005,6495.099306847786,6403.908194026862
2001-08-10,1,0,0.0005,6327.11733818264,6323.953779513549
2001-08-15,0,1,0.0005,6323.953779513549,6265.9410710744505
2001-10-05,1,0,0.0005,5686.386432158686,5683.543238942607
2001-10-30,0,1,0.0005,5683.543238942607,5612.0569984061485
2001-11-05,1,0,0.0005,5773.423281741517,5770.536570100647
2001-12-10,0,1,0.0005,5770.536570100647,5658.7079305879215
2001-12-12,1,0,0.0005,5647.314962939738,5644.4913054582685
2001-12-13,0,1,0.0005,5644.4913054582685,5530.942158857929
2001-12-18,1,0,0.0005,5640.948954997325,5638.128480519827
2001-12-24,0,1,0.0005,5638.128480519827,5624.508751791489
2001-12-31,1,0,0.0005,5686.577405287913,5683.7341165852695
2002-01-14,0,1,0.0005,5683.7341165852695,5645.173634255294
2002-01-15,1,0,0.0005,5645.173634255294,5642.3510474381665
2002-01-16,0,1,0.0005,5642.3510474381665,5524.187104599536
2002-02-25,1,0,0.0005,5356.861863122948,5354.1834321913875
2002-03-22,0,1,0.0005,5354.1834321913875,5339.881775117838
2002-05-14,1,0,0.0005,4993.058758640834,4990.5622292615135
2002-05-21,0,1,0.0005,4990.5622292615135,4942.367398295911
2002-05-22,1,0,0.0005,4942.367398295911,4939.8962145967635
2002-05-29,0,1,0.0005,4939.8962145967635,4900.730956410581
2002-05-31,1,0,0.0005,4887.007474229543,4884.563970492428
2002-06-03,0,1,0.0005,4884.563970492428,4750.529095927833
2002-08-07,1,0,0.0005,3910.693887217141,3908.7385402735326
2002-09-03,0,1,0.0005,3908.7385402735326,3754.8109087883327
2002-10-11,1,0,0.0005,3425.845780884093,3424.132857993651
2002-11-08,0,1,0.0005,3424.132857993651,3380.289103575683
2002-11-13,1,0,0.0005,3353.7515699041674,3352.0746941192156
2002-11-26,0,1,0.0005,3352.0746941192156,3285.9542158063823
2002-11-27,1,0,0.0005,3285.9542158063823,3284.3112386984794
2002-12-09,0,1,0.0005,3284.3112386984794,3191.1150687459062
2002-12-10,1,0,0.0005,3191.1150687459062,3189.5195112115334
2002-12-11,0,1,0.0005,3189.5195112115334,3190.737157657118
2003-01-02,1,0,0.0005,3113.215745389528,3111.659137516833
2003-01-22,0,1,0.0005,3111.659137516833,3072.219377188951
2003-02-28,1,0,0.0005,2932.305371110713,2930.839218425158
2003-03-04,0,1,0.0005,2930.839218425158,2882.293708993585
2003-03-05,1,0,0.0005,2882.293708993585,2880.852562139088
2003-03-07,0,1,0.0005,2880.852562139088,2899.188069200453
2003-03-14,1,0,0.0005,2915.2488979502673,2913.7912735012924
