Date,prev_signal,new_signal,trade_cost,equity_before,equity_after
2000-10-17,0,1,0.0005,10000.0,9743.095781311486
2000-10-18,1,0,0.0005,9743.095781311486,9738.22423342083
2000-10-20,0,1,0.0005,9738.22423342083,9774.770793590966
2000-10-25,1,0,0.0005,9752.622914654072,9747.746603196745
2000-10-27,0,1,0.0005,9747.746603196745,9926.110784074453
2000-11-02,1,0,0.0005,10151.350511580531,10146.274836324741
2000-11-03,0,1,0.0005,10146.274836324741,10146.755162485888
2000-11-08,1,0,0.0005,10215.349340035129,10210.241665365113
2000-11-15,0,1,0.0005,10210.241665365113,10237.19108139946
2000-11-17,1,0,0.0005,10075.464263476857,10070.42653134512
2000-11-22,0,1,0.0005,10070.42653134512,9821.871811306424
2000-11-24,1,0,0.0005,9821.871811306424,9816.960875400771
2000-11-27,0,1,0.0005,9816.960875400771,9898.130273345216
2000-11-29,1,0,0.0005,9726.10260420797,9721.239552905867
2000-12-05,0,1,0.0005,9721.239552905867,10030.219638530076
2000-12-07,1,0,0.0005,9868.462044089338,9863.527813067294
2000-12-11,0,1,0.0005,9863.527813067294,10195.594563796896
2000-12-13,1,0,0.0005,10151.833025250076,10146.757108737453
2000-12-19,0,1,0.0005,10146.757108737453,9932.88441643287
2000-12-20,1,0,0.0005,9932.88441643287,9927.917974224654
2000-12-22,0,1,0.0005,9927.917974224654,10216.32059203698
2001-01-02,1,0,0.0005,10233.034981082666,10227.918463592126
2001-01-04,0,1,0.0005,10227.918463592126,10112.112940450099
2001-01-05,1,0,0.0005,10112.112940450099,10107.056883979874
2001-01-09,0,1,0.0005,10107.056883979874,10075.282894294909
2001-01-10,1,0,0.0005,10075.282894294909,10070.245252847762
2001-01-11,0,1,0.0005,10070.245252847762,10074.732534809602
2001-01-16,1,0,0.0005,10055.667486206446,10050.639652463344
2001-01-17,0,1,0.0005,10050.639652463344,10091.61724296994
2001-01-22,1,0,0.0005,10133.490347436706,10128.423602262988
2001-01-23,0,1,0.0005,10128.423602262988,10202.815243117328
2001-01-26,1,0,0.0005,10207.428882131248,10202.325167690182
2001-01-30,0,1,0.0005,10202.325167690182,10286.458635094574
2001-02-01,1,0,0.0005,10228.069193198173,10222.955158601575
2001-02-02,0,1,0.0005,10222.955158601575,9983.186859697871
2001-02-05,1,0,0.0005,9983.186859697871,9978.195266268023
2001-02-06,0,1,0.0005,9978.195266268023,9943.767146430273
2001-02-07,1,0,0.0005,9943.767146430273,9938.795262857058
2001-02-13,0,1,0.0005,9938.795262857058,9852.247992794775
2001-02-14,1,0,0.0005,9852.247992794775,9847.321868798379
2001-02-16,0,1,0.0005,9847.321868798379,9622.84135299394
2001-02-20,1,0,0.0005,9622.84135299394,9618.029932317444
2001-02-23,0,1,0.0005,9618.029932317444,9548.026344297907
2001-02-26,1,0,0.0005,9548.026344297907,9543.25233112576
2001-02-27,0,1,0.0005,9543.25233112576,9449.831729802729
2001-02-28,1,0,0.0005,9449.831729802729,9445.106813937828
2001-03-02,0,1,0.0005,9445.106813937828,9365.035244863619
2001-03-05,1,0,0.0005,9365.035244863619,9360.352727241187
2001-03-06,0,1,0.0005,9360.352727241187,9455.688824872794
2001-03-12,1,0,0.0005,9247.202073018409,9242.5784719819
2001-03-14,0,1,0.0005,9242.5784719819,9053.62671971952
2001-03-15,1,0,0.0005,9053.62671971952,9049.099906359661
2001-03-16,0,1,0.0005,9049.099906359661,8861.226718879438
2001-03-19,1,0,0.0005,8861.226718879438,8856.796105519998
2001-03-20,0,1,0.0005,8856.796105519998,8611.376350578981
2001-03-21,1,0,0.0005,8611.376350578981,8607.070662403692
2001-03-26,0,1,0.0005,8607.070662403692,8711.841395976406
2001-03-29,1,0,0.0005,8639.009557257114,8634.690052478485
2001-03-30,0,1,0.0005,8634.690052478485,8720.37501422934
2001-04-03,1,0,0.0005,8532.279080243623,8528.012940703502
2001-04-05,0,1,0.0005,8528.012940703502,8840.896320386853
2001-04-09,1,0,0.0005,8705.385881061675,8701.033188121144
2001-04-10,0,1,0.0005,8701.033188121144,8853.989990251936
2001-04-17,1,0,0.0005,8924.16175889205,8919.699678012605
2001-04-18,0,1,0.0005,8919.699678012605,9262.88935178149
2001-04-23,1,0,0.0005,9299.043349824267,9294.393828149356
2001-04-26,0,1,0.0005,9294.393828149356,9331.155103575897
2001-05-03,1,0,0.0005,9563.378674906244,9558.59698556879
2001-05-07,0,1,0.0005,9558.59698556879,9470.886881790873
2001-05-08,1,0,0.0005,9470.886881790873,9466.151438349978
2001-05-11,0,1,0.0005,9466.151438349978,9395.843100813096
2001-05-14,1,0,0.0005,9395.843100813096,9391.14517926269
2001-05-15,0,1,0.0005,9391.14517926269,9429.786671271178
2001-05-23,1,0,0.0005,9837.675638196986,9832.756800377889
2001-05-25,0,1,0.0005,9832.756800377889,9711.092163156858
2001-05-29,1,0,0.0005,9711.092163156858,9706.23661707528
2001-06-01,0,1,0.0005,9706.23661707528,9761.303525523981
2001-06-07,1,0,0.0005,9837.235372812542,9832.316755126136
2001-06-08,0,1,0.0005,9832.316755126136,9735.699323465169
2001-06-11,1,0,0.0005,9735.699323465169,9730.831473803437
2001-06-18,0,1,0.0005,9730.831473803437,9678.732292940207
2001-06-19,1,0,0.0005,9678.732292940207,9673.892926793738
2001-06-20,0,1,0.0005,9673.892926793738,9719.754193252962
2001-06-25,1,0,0.0005,9752.177525513902,9747.301436751146
2001-06-29,0,1,0.0005,9747.301436751146,9778.272788718265
2001-07-05,1,0,0.0005,9897.151216019853,9892.202640411842
2001-07-10,0,1,0.0005,9892.202640411842,9767.532879207796
2001-07-11,1,0,0.0005,9767.532879207796,9762.649112768193
2001-07-12,0,1,0.0005,9762.649112768193,9986.80155097625
2001-07-17,1,0,0.0005,9946.084269864585,9941.111227729652
2001-07-18,0,1,0.0005,9941.111227729652,9868.18757740943
2001-07-19,1,0,0.0005,9868.18757740943,9863.253483620725
2001-07-20,0,1,0.0005,9863.253483620725,9799.162652638059
2001-07-23,1,0,0.0005,9799.162652638059,9794.26307131174
2001-07-26,0,1,0.0005,9794.26307131174,9891.625661621396
2001-08-06,1,0,0.0005,10021.71623983855,10016.705381718632
2001-08-08,0,1,0.0005,10016.705381718632,9824.170208950254
2001-08-09,1,0,0.0005,9824.170208950254,9819.258123845779
2001-08-10,0,1,0.0005,9819.258123845779,9848.1553908018
2001-08-15,1,0,0.0005,9846.504979146925,9841.581726657352
2001-08-17,0,1,0.0005,9841.581726657352,9677.784741920705
2001-08-20,1,0,0.0005,9677.784741920705,9672.945849549746
2001-08-21,0,1,0.0005,9672.945849549746,9501.677577614471
2001-08-22,1,0,0.0005,9501.677577614471,9496.926738825665
2001-08-23,0,1,0.0005,9496.926738825665,9458.029823102961
2001-08-24,1,0,0.0005,9458.029823102961,9453.30080819141
2001-08-27,0,1,0.0005,9453.30080819141,9392.013653813006
2001-08-28,1,0,0.0005,9392.013653813006,9387.317646986101
