Date,prev_signal,new_signal,trade_cost,equity_before,equity_after
2004-11-12,0,1,0.0005,10000.0,9995.0
2005-05-26,1,0,0.0005,9689.282050921869,9618.738990453101
2006-04-21,0,1,0.0005,9618.738990453101,9613.929620957875
2008-09-23,1,0,0.0005,11280.310932882368,11195.834808203354
2009-05-27,0,1,0.0005,11195.834808203354,11190.236890799253
2010-02-09,1,0,0.0005,11008.845769576834,11105.583137622934
2010-10-18,0,1,0.0005,11105.583137622934,11100.030346054124
2011-10-05,1,0,0.0005,10410.868124849814,10511.70307969721
2012-10-29,0,1,0.0005,10511.70307969721,10506.447228157362
2013-05-17,1,0,0.0005,10454.435754875607,10449.88280274571
2013-06-19,0,1,0.0005,10449.88280274571,10444.657861344336
2013-07-05,1,0,0.0005,10147.468883018091,10061.652060936383
2013-07-26,0,1,0.0005,10061.652060936383,10056.621234905915
2014-07-08,1,0,0.0005,10280.055588730003,10288.334501386908
2015-10-05,0,1,0.0005,10288.334501386908,10283.190334136214
2015-11-26,1,0,0.0005,9741.069816235551,9718.899478864794
2016-03-23,0,1,0.0005,9718.899478864794,9714.040029125363
2016-10-25,1,0,0.0005,9403.148892219351,9392.309400775006
2017-05-24,0,1,0.0005,9392.309400775006,9387.61324607462
2018-06-08,1,0,0.0005,9870.118707734486,9873.32984510758
2020-06-29,0,1,0.0005,9873.32984510758,9868.393180185027
2021-05-06,1,0,0.0005,10544.214138729069,10532.73541809563
2021-05-18,0,1,0.0005,10532.73541809563,10527.469050386582
2021-07-23,1,0,0.0005,10209.25470446526,10186.828349001185
2022-12-30,0,1,0.0005,10186.828349001185,10181.734934826685
2023-10-02,1,0,0.0005,10065.401602430014,10063.026779497137
2024-01-04,0,1,0.0005,10063.026779497137,10057.99526610739
2024-03-29,1,0,0.0005,9949.84059171836,9927.450410512116
2024-08-21,0,1,0.0005,9927.450410512116,9922.48668530686
2024-11-27,1,0,0.0005,9307.155854908562,9344.200725595925
