Date,prev_signal,new_signal,trade_cost,equity_before,equity_after
2001-02-08,0,1,0.0005,10000.0,9877.752734833592
2001-02-12,1,0,0.0005,9782.309955578312,9777.418800600522
2001-02-20,0,1,0.0005,9777.418800600522,9620.64791724818
2001-02-21,1,0,0.0005,9620.64791724818,9615.837593289556
2001-05-25,0,1,0.0005,9615.837593289556,9496.85698427877
2001-05-31,1,0,0.0005,9288.044003120094,9283.399981118535
2001-06-11,0,1,0.0005,9283.399981118535,9212.739729215122
2001-06-19,1,0,0.0005,8881.54411286079,8877.10334080436
2001-07-06,0,1,0.0005,8877.10334080436,8678.68985359797
2001-07-09,1,0,0.0005,8678.68985359797,8674.350508671172
2001-07-10,0,1,0.0005,8674.350508671172,8565.029132449223
2001-07-11,1,0,0.0005,8565.029132449223,8560.746617882998
2001-08-15,0,1,0.0005,8560.746617882998,8482.214719188058
2001-08-16,1,0,0.0005,8482.214719188058,8477.973611828464
2001-08-17,0,1,0.0005,8477.973611828464,8336.871647442702
2001-08-20,1,0,0.0005,8336.871647442702,8332.70321161898
2001-08-29,0,1,0.0005,8332.70321161898,8253.869972320033
2001-08-30,1,0,0.0005,8253.869972320033,8249.743037333874
2002-01-09,0,1,0.0005,8249.743037333874,8178.083193041357
2002-01-10,1,0,0.0005,8178.083193041357,8173.9941514448365
2002-01-14,0,1,0.0005,8173.9941514448365,8118.5388555817935
2002-01-15,1,0,0.0005,8118.5388555817935,8114.479586154003
2002-03-25,0,1,0.0005,8114.479586154003,8008.928160043544
2002-03-26,1,0,0.0005,8008.928160043544,8004.923695963523
2002-04-02,0,1,0.0005,8004.923695963523,7956.783083584114
2002-04-08,1,0,0.0005,7869.229737003947,7865.295122135445
2002-04-09,0,1,0.0005,7865.295122135445,7806.150419404104
2002-04-10,1,0,0.0005,7806.150419404104,7802.247344194402
2002-04-23,0,1,0.0005,7802.247344194402,7764.535957682953
2002-04-26,1,0,0.0005,7690.374114560528,7686.528927503248
2003-05-19,0,1,0.0005,7686.528927503248,7500.684448308817
2003-05-21,1,0,0.0005,7485.2818851594375,7481.539244216859
2003-06-20,0,1,0.0005,7481.539244216859,7461.261446054378
2003-06-24,1,0,0.0005,7384.3343909773685,7380.642223781881
2003-06-25,0,1,0.0005,7380.642223781881,7302.410070680774
2003-06-26,1,0,0.0005,7302.410070680774,7298.758865645434
2003-07-17,0,1,0.0005,7298.758865645434,7190.641057095245
2003-07-18,1,0,0.0005,7190.641057095245,7187.045736566698
2003-08-01,0,1,0.0005,7187.045736566698,7119.533065879201
2003-08-06,1,0,0.0005,6966.857198815411,6963.373770216003
2003-09-24,0,1,0.0005,6963.373770216003,6834.985478159734
2003-09-29,1,0,0.0005,6756.304829961239,6752.926677546259
2003-10-22,0,1,0.0005,6752.926677546259,6664.003514347917
2003-10-24,1,0,0.0005,6651.764215332061,6648.438333224395
2003-11-17,0,1,0.0005,6648.438333224395,6611.619689589863
2003-11-19,1,0,0.0005,6542.580368430768,6539.309078246553
2004-02-04,0,1,0.0005,6539.309078246553,6482.368504612176
