Date,prev_signal,new_signal,trade_cost,equity_before,equity_after
2001-02-06,0,1,0.0005,10000.0,9965.496646518697
2001-02-07,1,0,0.0005,9965.496646518697,9960.513898195439
2001-02-13,0,1,0.0005,9960.513898195439,9873.777501730176
2001-02-14,1,0,0.0005,9873.777501730176,9868.840612979311
2001-02-16,0,1,0.0005,9868.840612979311,9643.869553770528
2001-02-20,1,0,0.0005,9643.869553770528,9639.047618993643
2001-05-18,0,1,0.0005,9639.047618993643,9678.166955559229
2001-05-23,1,0,0.0005,9806.91905483825,9802.015595310831
2001-05-25,0,1,0.0005,9802.015595310831,9680.731331329793
2001-05-29,1,0,0.0005,9680.731331329793,9675.890965664128
2001-06-01,0,1,0.0005,9675.890965664128,9730.785712514673
2001-06-07,1,0,0.0005,9806.480165902825,9801.576925819874
2001-06-08,0,1,0.0005,9801.576925819874,9705.26155962641
2001-06-11,1,0,0.0005,9705.26155962641,9700.408928846597
2001-06-18,0,1,0.0005,9700.408928846597,9648.472631255603
2001-06-19,1,0,0.0005,9648.472631255603,9643.648394939975
2001-06-20,0,1,0.0005,9643.648394939975,9689.366280389633
2001-06-25,1,0,0.0005,9721.6882440999,9716.82739997785
2001-06-29,0,1,0.0005,9716.82739997785,9747.701922876442
2001-07-05,1,0,0.0005,9866.208687765757,9861.275583421875
2001-07-10,0,1,0.0005,9861.275583421875,9736.995590700122
2001-07-11,1,0,0.0005,9736.995590700122,9732.127092904773
2001-08-10,0,1,0.0005,9732.127092904773,9760.767940421616
2001-08-15,1,0,0.0005,9759.132173668337,9754.252607581502
2001-08-17,0,1,0.0005,9754.252607581502,9591.9090727863
2001-08-20,1,0,0.0005,9591.9090727863,9587.113118249908
2001-08-21,0,1,0.0005,9587.113118249908,9417.364592604323
2001-08-22,1,0,0.0005,9417.364592604323,9412.655910308022
2001-08-23,0,1,0.0005,9412.655910308022,9374.104145748941
2001-08-24,1,0,0.0005,9374.104145748941,9369.417093676067
2001-08-27,0,1,0.0005,9369.417093676067,9308.673769888232
2001-08-28,1,0,0.0005,9308.673769888232,9304.019433003288
2002-01-04,0,1,0.0005,9304.019433003288,9361.27637894244
2002-01-08,1,0,0.0005,9294.982046983609,9290.334555960117
2002-01-11,0,1,0.0005,9290.334555960117,9193.999919688795
2002-01-14,1,0,0.0005,9193.999919688795,9189.402919728951
2002-01-16,0,1,0.0005,9189.402919728951,8996.95546791345
2002-01-17,1,0,0.0005,8996.95546791345,8992.456990179495
2002-01-18,0,1,0.0005,8992.456990179495,8946.724787133999
2002-01-22,1,0,0.0005,8946.724787133999,8942.251424740432
2002-01-24,0,1,0.0005,8942.251424740432,8965.367991365623
2002-01-28,1,0,0.0005,8963.006708406057,8958.525205051856
2002-03-22,0,1,0.0005,8958.525205051856,8934.595924893636
2002-03-25,1,0,0.0005,8934.595924893636,8930.12862693119
2002-03-27,0,1,0.0005,8930.12862693119,8949.074294774211
2002-04-01,1,0,0.0005,8945.168650012325,8940.69606568732
2002-04-02,0,1,0.0005,8940.69606568732,8886.927835027309
2002-04-03,1,0,0.0005,8886.927835027309,8882.484371109796
2002-04-08,0,1,0.0005,8882.484371109796,8896.935800658204
2002-04-10,1,0,0.0005,8834.481931776683,8830.064690810796
2002-04-11,0,1,0.0005,8830.064690810796,8603.30890378132
2002-04-12,1,0,0.0005,8603.30890378132,8599.00724932943
2002-04-15,0,1,0.0005,8599.00724932943,8528.861835727183
2002-04-16,1,0,0.0005,8528.861835727183,8524.59740480932
2002-04-17,0,1,0.0005,8524.59740480932,8502.243386166447
2002-04-18,1,0,0.0005,8502.243386166447,8497.992264473363
2002-04-22,0,1,0.0005,8497.992264473363,8351.018125555118
2002-04-23,1,0,0.0005,8351.018125555118,8346.84261649234
2003-05-16,0,1,0.0005,8346.84261649234,8321.577606476965
2003-05-19,1,0,0.0005,8321.577606476965,8317.416817673728
2003-05-22,0,1,0.0005,8317.416817673728,8395.435660268193
2003-05-30,1,0,0.0005,8560.073441667959,8555.793404947126
2003-06-02,0,1,0.0005,8555.793404947126,8586.745354301856
2003-06-09,1,0,0.0005,8754.077176453617,8749.70013786539
2003-06-11,0,1,0.0005,8749.70013786539,8837.408537005558
2003-06-16,1,0,0.0005,8771.675546365364,8767.289708592181
2003-06-17,0,1,0.0005,8767.289708592181,8762.906063737886
2003-06-18,1,0,0.0005,8762.906063737886,8758.524610706017
2003-06-25,0,1,0.0005,8758.524610706017,8665.68739986321
2003-06-26,1,0,0.0005,8665.68739986321,8661.35455616328
2003-06-27,0,1,0.0005,8661.35455616328,8556.50576477004
2003-06-30,1,0,0.0005,8556.50576477004,8552.227511887655
2003-07-02,0,1,0.0005,8552.227511887655,8654.910393551507
2003-07-07,1,0,0.0005,8565.096347224202,8560.813799050591
2003-07-08,0,1,0.0005,8560.813799050591,8594.702961338327
2003-07-10,1,0,0.0005,8546.130979868018,8541.857914378084
2003-07-14,0,1,0.0005,8541.857914378084,8579.245720011253
2003-07-16,1,0,0.0005,8560.490891265714,8556.210645820081
2003-07-21,0,1,0.0005,8556.210645820081,8445.518496185268
2003-07-22,1,0,0.0005,8445.518496185268,8441.295736937176
2003-07-23,0,1,0.0005,8441.295736937176,8443.030462167077
2003-07-25,1,0,0.0005,8378.982263713031,8374.792772581175
2003-07-28,0,1,0.0005,8374.792772581175,8339.63315618685
2003-07-29,1,0,0.0005,8339.63315618685,8335.463339608757
2003-08-01,0,1,0.0005,8335.463339608757,8257.162823360262
2003-08-04,1,0,0.0005,8257.162823360262,8253.034241948582
2003-08-07,0,1,0.0005,8253.034241948582,8335.255940098143
2003-08-14,1,0,0.0005,8423.164366319774,8418.952784136614
2003-08-15,0,1,0.0005,8418.952784136614,8440.989010298592
2003-08-21,1,0,0.0005,8510.868307337498,8506.612873183829
2003-08-22,0,1,0.0005,8506.612873183829,8417.526434593821
2003-08-25,1,0,0.0005,8417.526434593821,8413.317671376524
2003-08-26,0,1,0.0005,8413.317671376524,8424.249987357474
2003-09-08,1,0,0.0005,8651.754558372504,8647.428681093319
2003-09-09,0,1,0.0005,8647.428681093319,8586.204632852186
2003-09-10,1,0,0.0005,8586.204632852186,8581.91153053576
2003-09-12,0,1,0.0005,8581.91153053576,8593.551438563321
2003-09-16,1,0,0.0005,8563.302346004537,8559.020694831535
2003-09-17,0,1,0.0005,8559.020694831535,8538.202771623295
2003-09-18,1,0,0.0005,8538.202771623295,8533.933670237484
2003-09-19,0,1,0.0005,8533.933670237484,8486.147346857746
2003-09-22,1,0,0.0005,8486.147346857746,8481.904273184318
2003-09-24,0,1,0.0005,8481.904273184318,8325.517837678484
2003-09-25,1,0,0.0005,8325.517837678484,8321.355078759645
2003-09-30,0,1,0.0005,8321.355078759645,8236.002695769283
2003-10-01,1,0,0.0005,8236.002695769283,8231.884694421398
2003-10-02,0,1,0.0005,8231.884694421398,8257.55136359151
2003-10-09,1,0,0.0005,8381.958749630368,8377.767770255554
2003-10-10,0,1,0.0005,8377.767770255554,8396.846050231774
2003-10-16,1,0,0.0005,8430.449287922722,8426.234063278762
2003-10-17,0,1,0.0005,8426.234063278762,8329.58846781447
2003-10-20,1,0,0.0005,8329.58846781447,8325.423673580564
2003-10-21,0,1,0.0005,8325.423673580564,8306.982898524053
2003-10-22,1,0,0.0005,8306.982898524053,8302.82940707479
2003-10-27,0,1,0.0005,8302.82940707479,8302.685471702696
2003-11-03,1,0,0.0005,8435.691866991921,8431.474021058426
2003-11-04,0,1,0.0005,8431.474021058426,8408.94053307907
2003-11-05,1,0,0.0005,8408.94053307907,8404.736062812532
2003-11-06,0,1,0.0005,8404.736062812532,8444.888937534695
2003-11-10,1,0,0.0005,8381.956204048647,8377.765225946623
2003-11-13,0,1,0.0005,8377.765225946623,8375.944543838103
2003-11-17,1,0,0.0005,8304.763468340498,8300.611086606328
