Date,prev_signal,new_signal,trade_cost,equity_before,equity_after
2004-11-12,0,1,0.0005,10000.0,9995.0
2005-05-26,1,0,0.0005,9689.282050921869,9618.738990453101
2006-04-21,0,1,0.0005,9618.738990453101,9613.929620957875
2008-01-08,1,0,0.0005,11393.78368729769,12057.123608771366
2008-03-11,0,1,0.0005,12057.123608771366,12051.09504696698
2008-03-24,1,0,0.0005,12325.672171183094,12111.92429731812
2008-05-13,0,1,0.0005,12111.92429731812,12105.868335169462
2008-07-03,1,0,0.0005,12411.396314288368,12265.275376223688
2009-07-14,0,1,0.0005,12265.275376223688,12259.142738535576
2010-02-09,1,0,0.0005,11954.930814813877,12059.981659053543
2011-02-16,0,1,0.0005,12059.981659053543,12053.951668224017
2011-05-06,1,0,0.0005,13231.142156654782,12967.447721289656
2012-10-29,0,1,0.0005,12967.447721289656,12960.963997429013
2013-05-17,1,0,0.0005,12896.80160094818,12891.18498789563
2013-06-19,0,1,0.0005,12891.18498789563,12884.739395401682
2013-07-05,1,0,0.0005,12518.121111897037,12412.255759202559
2013-08-09,0,1,0.0005,12412.255759202559,12406.049631322958
2014-07-08,1,0,0.0005,12582.074365690387,12592.207180033376
2015-10-05,0,1,0.0005,12592.207180033376,12585.91107644336
2015-10-26,1,0,0.0005,12416.737542152887,12342.47244446209
2015-11-23,0,1,0.0005,12342.47244446209,12336.30120823986
2015-11-26,1,0,0.0005,12339.584634710349,12311.500167652062
2016-03-23,0,1,0.0005,12311.500167652062,12305.344417568236
2016-06-27,1,0,0.0005,12406.637505954668,12080.752269570741
2016-07-19,0,1,0.0005,12080.752269570741,12074.711893435957
2016-10-25,1,0,0.0005,11861.908973874752,11848.235143723841
2017-05-24,0,1,0.0005,11848.235143723841,11842.31102615198
2018-06-08,1,0,0.0005,12450.983283840333,12455.034077851877
2020-06-29,0,1,0.0005,12455.034077851877,12448.806560812951
2021-05-06,1,0,0.0005,13301.342959499503,13286.86275283139
2021-05-18,0,1,0.0005,13286.86275283139,13280.219321454975
2021-07-23,1,0,0.0005,12878.797452167855,12850.506994345717
2022-12-30,0,1,0.0005,12850.506994345717,12844.081740848544
2023-10-02,1,0,0.0005,12697.329262999478,12694.333465125621
2024-01-04,0,1,0.0005,12694.333465125621,12687.986298393058
2024-03-29,1,0,0.0005,12551.551055539112,12523.306230914797
2024-08-21,0,1,0.0005,12523.306230914797,12517.044577799341
2024-11-27,1,0,0.0005,11740.815424920256,11787.54688574037
