Date,prev_signal,new_signal,trade_cost,equity_before,equity_after
2015-06-29,0,1,0.0005,10000.0,9995.0
2015-08-18,1,0,0.0005,9899.75577178194,7908.576687408165
2015-10-06,0,1,0.0005,7908.576687408165,7904.622399064461
2015-10-07,1,0,0.0005,7904.622399064461,7800.646766486159
2015-10-11,0,1,0.0005,7800.646766486159,7796.746443102917
2015-10-12,1,0,0.0005,7796.746443102917,7737.676738478467
2015-10-13,0,1,0.0005,7737.676738478467,7733.807900109228
2018-01-16,1,0,0.0005,223230.69121332082,181914.76974205137
2018-01-20,0,1,0.0005,181914.76974205137,181823.81235718034
2018-01-21,1,0,0.0005,181823.81235718034,162432.00748894032
2018-01-28,0,1,0.0005,162432.00748894032,162350.79148519586
2018-01-29,1,0,0.0005,162350.79148519586,155377.22462082832
2019-04-03,0,1,0.0005,155377.22462082832,155299.5360085179
2019-04-04,1,0,0.0005,155299.5360085179,153645.52422526525
2019-04-05,0,1,0.0005,153645.52422526525,153568.70146315263
2019-09-26,1,0,0.0005,222048.30777849417,212093.49334923553
2019-10-26,0,1,0.0005,212093.49334923553,211987.44660256093
2019-11-08,1,0,0.0005,212116.39774122467,201146.99257175022
2020-01-28,0,1,0.0005,201146.99257175022,201046.41907546436
2020-02-27,1,0,0.0005,187659.2858498134,186797.37305742482
2020-03-02,0,1,0.0005,186797.37305742482,186703.97437089612
2020-03-08,1,0,0.0005,187366.93014390237,169603.88399160313
2020-04-29,0,1,0.0005,169603.88399160313,169519.08204960733
2021-05-19,1,0,0.0005,647867.34445257,551589.6725296129
2021-05-20,0,1,0.0005,551589.6725296129,551313.8776933481
2021-05-21,1,0,0.0005,551313.8776933481,501894.2026773349
2021-08-09,0,1,0.0005,501894.2026773349,501643.25557599624
2021-08-12,1,0,0.0005,493221.3752058417,480204.39822867746
2021-08-13,0,1,0.0005,480204.39822867746,479964.2960295631
2021-08-17,1,0,0.0005,461831.67306755617,448268.04674075864
2021-08-19,0,1,0.0005,448268.04674075864,448043.9127173883
2021-09-10,1,0,0.0005,438614.07580638846,423905.0709093314
2021-09-12,0,1,0.0005,423905.0709093314,423693.1183738767
2021-09-13,1,0,0.0005,423693.1183738767,413238.7889358745
2021-09-14,0,1,0.0005,413238.7889358745,413032.16954140656
2021-09-20,1,0,0.0005,414172.0655696378,373331.41205338953
2021-10-01,0,1,0.0005,373331.41205338953,373144.7463473629
2021-12-13,1,0,0.0005,374240.0720607823,348065.20859662094
2021-12-15,0,1,0.0005,348065.20859662094,347891.1759923227
2021-12-17,1,0,0.0005,339018.5371057371,328278.3982347012
2021-12-21,0,1,0.0005,328278.3982347012,328114.2590355839
2021-12-28,1,0,0.0005,339199.14859905856,317947.83806767967
2023-01-14,0,1,0.0005,317947.83806767967,317788.86414864584
2023-08-17,1,0,0.0005,411104.2147713674,380631.4765836573
2023-08-29,0,1,0.0005,380631.4765836573,380441.1608453655
2023-08-30,1,0,0.0005,380441.1608453655,374303.01306752436
2023-10-16,0,1,0.0005,374303.01306752436,374115.8615609906
2024-07-04,1,0,0.0005,717014.8263023938,677522.3315834905
2024-07-13,0,1,0.0005,677522.3315834905,677183.5704176988
2024-08-03,1,0,0.0005,697215.709918142,688472.9827323892
2024-08-23,0,1,0.0005,688472.9827323892,688128.7462410231
2024-08-26,1,0,0.0005,690694.1115281162,674571.5758867841
2024-09-24,0,1,0.0005,674571.5758867841,674234.2900988407
2024-09-25,1,0,0.0005,674234.2900988407,661635.5720496663
2024-09-26,0,1,0.0005,661635.5720496663,661304.7542636415
2024-09-30,1,0,0.0005,665879.4636713348,641733.0249021744
2024-10-14,0,1,0.0005,641733.0249021744,641412.1583897233
