Date,prev_signal,new_signal,trade_cost,equity_before,equity_after
2004-09-30,0,1,0.0005,10000.0,9995.0
2004-10-01,1,0,0.0005,9995.0,9974.727647748334
2004-10-08,0,1,0.0005,9974.727647748334,9969.74028392446
2004-10-11,1,0,0.0005,9969.74028392446,9943.868536794243
2004-10-15,0,1,0.0005,9943.868536794243,9938.896602525847
2004-10-18,1,0,0.0005,9938.896602525847,9941.992277750216
2004-10-25,0,1,0.0005,9941.992277750216,9937.021281611342
2004-10-26,1,0,0.0005,9937.021281611342,9896.344761465516
2004-12-03,0,1,0.0005,9896.344761465516,9891.396589084783
2004-12-06,1,0,0.0005,9891.396589084783,9834.905019615311
2004-12-23,0,1,0.0005,9834.905019615311,9829.987567105503
2004-12-24,1,0,0.0005,9829.987567105503,9843.952564208605
2005-01-12,0,1,0.0005,9843.952564208605,9839.030587926502
2005-01-13,1,0,0.0005,9839.030587926502,9800.778545565296
2005-02-14,0,1,0.0005,9800.778545565296,9795.878156292514
2005-02-15,1,0,0.0005,9795.878156292514,9824.076553744815
2005-02-22,0,1,0.0005,9824.076553744815,9819.164515467943
2005-02-23,1,0,0.0005,9819.164515467943,9771.248955871268
2005-03-04,0,1,0.0005,9771.248955871268,9766.363331393333
2005-03-07,1,0,0.0005,9766.363331393333,9742.997527517351
2005-03-08,0,1,0.0005,9742.997527517351,9738.126028753593
2005-03-09,1,0,0.0005,9738.126028753593,9751.47722921214
2005-03-16,0,1,0.0005,9751.47722921214,9746.601490597533
2005-03-17,1,0,0.0005,9746.601490597533,9718.489549058744
2005-04-18,0,1,0.0005,9718.489549058744,9713.630304284216
2005-04-19,1,0,0.0005,9713.630304284216,9743.864208271665
2005-06-17,0,1,0.0005,9743.864208271665,9738.99227616753
2005-06-20,1,0,0.0005,9738.99227616753,9632.884603581608
2005-07-12,0,1,0.0005,9632.884603581608,9628.068161279818
2005-07-13,1,0,0.0005,9628.068161279818,9504.471970683753
2005-07-20,0,1,0.0005,9504.471970683753,9499.719734698412
2005-07-21,1,0,0.0005,9499.719734698412,9497.279575296243
2005-08-03,0,1,0.0005,9497.279575296243,9492.530935508596
2005-08-04,1,0,0.0005,9492.530935508596,9526.150112524494
2005-08-31,0,1,0.0005,9526.150112524494,9521.387037468232
2005-09-02,1,0,0.0005,9635.695947193153,9664.031085192635
2005-10-05,0,1,0.0005,9664.031085192635,9659.19906965004
2005-10-07,1,0,0.0005,9786.972673503296,9748.306262635431
2005-10-25,0,1,0.0005,9748.306262635431,9743.432109504114
2005-10-26,1,0,0.0005,9743.432109504114,9699.106042989299
2005-11-28,0,1,0.0005,9699.106042989299,9694.256489967804
2005-11-29,1,0,0.0005,9694.256489967804,9622.096251808402
2005-12-12,0,1,0.0005,9622.096251808402,9617.285203682497
2005-12-13,1,0,0.0005,9617.285203682497,9606.843249426624
2006-01-03,0,1,0.0005,9606.843249426624,9602.039827801911
2006-01-04,1,0,0.0005,9602.039827801911,9660.067321827226
2006-01-13,0,1,0.0005,9660.067321827226,9655.237288166312
2006-01-16,1,0,0.0005,9655.237288166312,9628.978335145612
2006-01-23,0,1,0.0005,9628.978335145612,9624.163845978039
2006-01-24,1,0,0.0005,9624.163845978039,9588.73091953684
2006-02-28,0,1,0.0005,9588.73091953684,9583.936554077072
2006-03-01,1,0,0.0005,9583.936554077072,9571.029758209967
2006-03-02,0,1,0.0005,9571.029758209967,9566.244243330862
2006-03-03,1,0,0.0005,9566.244243330862,9566.99044645509
2006-03-16,0,1,0.0005,9566.99044645509,9562.206951231861
2006-03-17,1,0,0.0005,9562.206951231861,9570.823864488308
2006-03-30,0,1,0.0005,9570.823864488308,9566.038452556064
2006-03-31,1,0,0.0005,9566.038452556064,9519.558471851573
2006-04-04,0,1,0.0005,9519.558471851573,9514.798692615648
2006-04-05,1,0,0.0005,9514.798692615648,9531.76339111319
2006-04-17,0,1,0.0005,9531.76339111319,9526.997509417635
2006-04-19,1,0,0.0005,9614.48899016332,9618.24680686784
2006-04-28,0,1,0.0005,9618.24680686784,9613.437683464408
2006-05-01,1,0,0.0005,9613.437683464408,9565.966402652595
2006-06-29,0,1,0.0005,9565.966402652595,9561.18341945127
2006-07-03,1,0,0.0005,9650.59656608773,9659.350481635822
2006-07-19,0,1,0.0005,9659.350481635822,9654.520806395005
2006-07-20,1,0,0.0005,9654.520806395005,9675.636419496106
2006-07-26,0,1,0.0005,9675.636419496106,9670.798601286358
2006-07-27,1,0,0.0005,9670.798601286358,9653.062184310122
2006-08-09,0,1,0.0005,9653.062184310122,9648.235653217967
2006-08-10,1,0,0.0005,9648.235653217967,9581.747628558145
2006-09-21,0,1,0.0005,9581.747628558145,9576.956754743867
2006-09-22,1,0,0.0005,9576.956754743867,9586.377344097664
2006-10-02,0,1,0.0005,9586.377344097664,9581.584155425615
2006-10-03,1,0,0.0005,9581.584155425615,9571.545175139016
2006-10-19,0,1,0.0005,9571.545175139016,9566.759402551446
2006-10-20,1,0,0.0005,9566.759402551446,9553.644204018205
2006-10-26,0,1,0.0005,9553.644204018205,9548.867381916196
2006-10-27,1,0,0.0005,9548.867381916196,9580.891874356274
2006-11-09,0,1,0.0005,9580.891874356274,9576.101428419095
2006-11-10,1,0,0.0005,9576.101428419095,9587.301854128087
2006-11-22,0,1,0.0005,9587.301854128087,9582.508203201023
