Date,prev_signal,new_signal,trade_cost,equity_before,equity_after
2004-09-10,0,1,0.0005,10000.0,9995.0
2004-09-13,1,0,0.0005,9995.0,9982.768157701934
2004-09-21,0,1,0.0005,9982.768157701934,9977.776773623083
2004-09-22,1,0,0.0005,9977.776773623083,9922.479393070787
2004-09-23,0,1,0.0005,9922.479393070787,9917.518153374253
2005-05-06,1,0,0.0005,10446.858671635899,10324.806477336775
2005-05-09,0,1,0.0005,10324.806477336775,10319.644074098107
2005-05-11,1,0,0.0005,10345.27944482178,10281.347237436981
2006-01-23,0,1,0.0005,10281.347237436981,10276.206563818263
2006-01-27,1,0,0.0005,10201.67666525538,10095.024321398592
2006-03-15,0,1,0.0005,10095.024321398592,10089.976809237893
2006-03-23,1,0,0.0005,10096.139754171174,10001.248460119788
2006-03-30,0,1,0.0005,10001.248460119788,9996.24783588973
2008-08-08,1,0,0.0005,12599.081316846257,12145.238430936124
2008-12-08,0,1,0.0005,12145.238430936124,12139.165811720657
2008-12-09,1,0,0.0005,12139.165811720657,10393.266823918306
2009-05-08,0,1,0.0005,10393.266823918306,10388.070190506347
2010-01-19,1,0,0.0005,10936.506528733586,10835.190087711346
2010-09-22,0,1,0.0005,10835.190087711346,10829.772492667491
2010-11-30,1,0,0.0005,10797.505074691284,10682.176886271856
2010-12-02,0,1,0.0005,10682.176886271856,10676.83579782872
2010-12-22,1,0,0.0005,10667.137295798288,10639.019571982742
2010-12-23,0,1,0.0005,10639.019571982742,10633.70006219675
2010-12-27,1,0,0.0005,10643.188037101248,10599.374804005773
2010-12-28,0,1,0.0005,10599.374804005773,10594.07511660377
2011-01-07,1,0,0.0005,10565.693712499326,10417.367612445743
2011-01-13,0,1,0.0005,10417.367612445743,10412.158928639521
2011-09-07,1,0,0.0005,11102.984921184749,11050.067898537458
2011-09-08,0,1,0.0005,11050.067898537458,11044.54286458819
2011-09-09,1,0,0.0005,11044.54286458819,10895.740835752706
2011-10-28,0,1,0.0005,10895.740835752706,10890.29296533483
2011-11-01,1,0,0.0005,10864.237699759637,10641.469869183162
2012-09-12,0,1,0.0005,10641.469869183162,10636.149134248571
2012-10-01,1,0,0.0005,10685.670740330563,10593.747137384013
2012-10-02,0,1,0.0005,10593.747137384013,10588.45026381532
2012-11-05,1,0,0.0005,10635.550788840095,10530.856841008
2012-11-21,0,1,0.0005,10530.856841008,10525.591412587497
2013-03-20,1,0,0.0005,10621.337384389784,10549.277557555255
2013-03-21,0,1,0.0005,10549.277557555255,10544.002918776478
2013-03-26,1,0,0.0005,10610.666930240997,10469.560343111865
2013-04-05,0,1,0.0005,10469.560343111865,10464.32556294031
2013-05-13,1,0,0.0005,10546.905032665498,10485.55474674471
2013-05-31,0,1,0.0005,10485.55474674471,10480.311969371338
2013-06-03,1,0,0.0005,10480.311969371338,10436.864488317868
2013-06-04,0,1,0.0005,10436.864488317868,10431.646056073709
2013-06-27,1,0,0.0005,10434.934334862786,10376.622252573561
2013-07-11,0,1,0.0005,10376.622252573561,10371.433941447274
2013-07-15,1,0,0.0005,10300.416425936457,10265.49437711507
2013-07-17,0,1,0.0005,10265.49437711507,10260.361629926514
2013-09-06,1,0,0.0005,10296.710886169854,10227.201025269991
2013-09-09,0,1,0.0005,10227.201025269991,10222.087424757357
2014-05-26,1,0,0.0005,10582.707916676653,10557.493943805266
2014-05-27,0,1,0.0005,10557.493943805266,10552.215196833364
2014-05-28,1,0,0.0005,10552.215196833364,10535.852643282084
2014-06-06,0,1,0.0005,10535.852643282084,10530.584716960444
2014-06-09,1,0,0.0005,10530.584716960444,10510.655219679978
2014-07-01,0,1,0.0005,10510.655219679978,10505.39989207014
2014-07-03,1,0,0.0005,10495.622491453045,10469.001922506306
2015-08-24,0,1,0.0005,10469.001922506306,10463.767421545053
2015-08-28,1,0,0.0005,10426.337950175106,10336.106646903769
2015-09-11,0,1,0.0005,10336.106646903769,10330.938593580317
2015-09-22,1,0,0.0005,10330.800032595918,10232.729534435644
2015-09-28,0,1,0.0005,10232.729534435644,10227.613169668428
2015-10-01,1,0,0.0005,10277.055750395068,10195.048031243208
2015-10-02,0,1,0.0005,10195.048031243208,10189.950507227588
2015-10-23,1,0,0.0005,10329.08416076539,10077.907810770334
2016-02-04,0,1,0.0005,10077.907810770334,10072.868856864949
2016-02-23,1,0,0.0005,10101.134698923885,10008.594693099063
2016-03-11,0,1,0.0005,10008.594693099063,10003.590395752513
2016-06-27,1,0,0.0005,10124.917474204272,9858.966194265195
2016-06-30,0,1,0.0005,9858.966194265195,9854.036711168063
2016-07-06,1,0,0.0005,9869.90959905474,9792.961808956958
2016-07-07,0,1,0.0005,9792.961808956958,9788.06532805248
