Date,prev_signal,new_signal,trade_cost,equity_before,equity_after
2004-09-30,0,1,0.0005,10000.0,10073.275138745803
2004-10-01,1,0,0.0005,10073.275138745803,10068.23850117643
2004-10-08,0,1,0.0005,10068.23850117643,10153.632906229119
2004-10-11,1,0,0.0005,10153.632906229119,10148.556089776004
2004-10-15,0,1,0.0005,10148.556089776004,10216.920921497056
2004-10-18,1,0,0.0005,10216.920921497056,10211.812461036308
2004-10-25,0,1,0.0005,10211.812461036308,10302.801122792773
2004-10-26,1,0,0.0005,10302.801122792773,10297.649722231377
2004-12-03,0,1,0.0005,10297.649722231377,10450.474158927153
2004-12-06,1,0,0.0005,10450.474158927153,10445.24892184769
2004-12-23,0,1,0.0005,10445.24892184769,10534.022475670605
2004-12-24,1,0,0.0005,10534.022475670605,10528.75546443277
2005-01-12,0,1,0.0005,10528.75546443277,10634.420208149862
2005-01-13,1,0,0.0005,10634.420208149862,10629.102998045788
2005-02-14,0,1,0.0005,10629.102998045788,10719.330464287796
2005-02-15,1,0,0.0005,10719.330464287796,10713.970799055653
2005-02-22,0,1,0.0005,10713.970799055653,10868.950911797432
2005-02-23,1,0,0.0005,10868.950911797432,10863.516436341533
2005-03-04,0,1,0.0005,10863.516436341533,10974.315048775763
2005-03-07,1,0,0.0005,10974.315048775763,10968.827891251376
2005-03-08,0,1,0.0005,10968.827891251376,11070.753220285735
2005-03-09,1,0,0.0005,11070.753220285735,11065.217843675593
2005-03-16,0,1,0.0005,11065.217843675593,11143.211783381917
2005-03-17,1,0,0.0005,11143.211783381917,11137.640177490228
2005-04-18,0,1,0.0005,11137.640177490228,11259.366518596882
2005-04-19,1,0,0.0005,11259.366518596882,11253.736835337584
2005-06-17,0,1,0.0005,11253.736835337584,11414.21877596069
2005-06-20,1,0,0.0005,11414.21877596069,11408.51166657271
2005-07-12,0,1,0.0005,11408.51166657271,11554.025469106033
2005-07-13,1,0,0.0005,11554.025469106033,11548.24845637148
2005-07-20,0,1,0.0005,11548.24845637148,11664.81875905552
2005-07-21,1,0,0.0005,11664.81875905552,11658.986349675994
2005-08-03,0,1,0.0005,11658.986349675994,11787.279558160806
2005-08-04,1,0,0.0005,11787.279558160806,11781.385918381726
2005-08-31,0,1,0.0005,11781.385918381726,11893.398119035572
2005-09-02,1,0,0.0005,12036.184182301506,12030.166090210356
2005-10-05,0,1,0.0005,12030.166090210356,12117.715289671787
2005-10-07,1,0,0.0005,12278.010583501482,12271.871578209732
2005-10-25,0,1,0.0005,12271.871578209732,12404.22383640031
2005-10-26,1,0,0.0005,12404.22383640031,12398.02172448211
2005-11-28,0,1,0.0005,12398.02172448211,12523.347573501653
2005-11-29,1,0,0.0005,12523.347573501653,12517.085899714903
2005-12-12,0,1,0.0005,12517.085899714903,12660.334131407806
2005-12-13,1,0,0.0005,12660.334131407806,12654.003964342102
2006-01-03,0,1,0.0005,12654.003964342102,12876.87955245777
2006-01-04,1,0,0.0005,12876.87955245777,12870.441112681543
2006-01-13,0,1,0.0005,12870.441112681543,12968.29260025351
2006-01-16,1,0,0.0005,12968.29260025351,12961.808453953383
2006-01-23,0,1,0.0005,12961.808453953383,13133.514361329968
2006-01-24,1,0,0.0005,13133.514361329968,13126.947604149304
2006-02-28,0,1,0.0005,13126.947604149304,13208.72542300907
2006-03-01,1,0,0.0005,13208.72542300907,13202.121060297566
2006-03-02,0,1,0.0005,13202.121060297566,13326.786447832144
2006-03-03,1,0,0.0005,13326.786447832144,13320.12305460823
2006-03-16,0,1,0.0005,13320.12305460823,13427.628235949938
2006-03-17,1,0,0.0005,13427.628235949938,13420.914421831963
2006-03-30,0,1,0.0005,13420.914421831963,13566.194772961806
2006-03-31,1,0,0.0005,13566.194772961806,13559.411675575326
2006-04-04,0,1,0.0005,13559.411675575326,13687.114294049785
2006-04-05,1,0,0.0005,13687.114294049785,13680.270736902761
2006-04-17,0,1,0.0005,13680.270736902761,13832.92673404643
2006-04-19,1,0,0.0005,13959.961851019212,13952.981870093703
2006-04-28,0,1,0.0005,13952.981870093703,14061.363085020908
2006-05-01,1,0,0.0005,14061.363085020908,14054.332403478398
2006-06-29,0,1,0.0005,14054.332403478398,14178.929261986044
2006-07-03,1,0,0.0005,14311.526099179939,14304.370336130349
2006-07-19,0,1,0.0005,14304.370336130349,14407.806858551216
2006-07-20,1,0,0.0005,14407.806858551216,14400.60295512194
2006-07-26,0,1,0.0005,14400.60295512194,14540.209834283407
2006-07-27,1,0,0.0005,14540.209834283407,14532.939729366266
2006-08-09,0,1,0.0005,14532.939729366266,14648.088233447888
2006-08-10,1,0,0.0005,14648.088233447888,14640.764189331165
2006-09-21,0,1,0.0005,14640.764189331165,14740.461745254031
2006-09-22,1,0,0.0005,14740.461745254031,14733.091514381405
2006-10-02,0,1,0.0005,14733.091514381405,14818.358668134257
2006-10-03,1,0,0.0005,14818.358668134257,14810.94948880019
2006-10-19,0,1,0.0005,14810.94948880019,14907.165021272316
2006-10-20,1,0,0.0005,14907.165021272316,14899.71143876168
2006-10-26,0,1,0.0005,14899.71143876168,14984.08822473251
2006-10-27,1,0,0.0005,14984.08822473251,14976.596180620145
